Genus,depth,Percent_Abundance,guild
Thiobacillus_AB1,8.5,0,4
Thiobacillus_AB2,8.5,0.021968366,4
Sulfurimonas_AB1,8.5,0.194714882,4
Sulfurimonas_AB2,8.5,0.219683656,4
Sulfurovum_AB1,8.5,0.064904961,4
Sulfurovum_AB2,8.5,0.054920914,4
Mariprofundus_AB1,8.5,0.120537784,5
Mariprofundus_AB2,8.5,0.054920914,5
Deferrisoma_AB1,8.5,0.157626333,3
Deferrisoma_AB2,8.5,0.153778559,3
Geobacter_AB1,8.5,0.027816412,3
Geobacter_AB2,8.5,0.032952548,3
Geothermobacter_AB1,8.5,0.018544274,3
Geothermobacter_AB2,8.5,0.021968366,3
Geopsychrobacter_AB1,8.5,0.009272137,3
Geopsychrobacter_AB2,8.5,0.010984183,3
Sva1033_unclassified_AB1,8.5,1.613351878,2
Sva1033_unclassified_AB2,8.5,1.120386643,2
Desulfuromusa_AB1,8.5,0.037088549,3
Desulfuromusa_AB2,8.5,0.043936731,3
SEEP-SRB1_AB1,8.5,0.111265647,1
SEEP-SRB1_AB2,8.5,0.087873462,1
Desulfobacula_AB1,8.5,0.213259156,1
Desulfobacula_AB2,8.5,0.186731107,1
Desulfosarcina_AB1,8.5,0.018544274,1
Desulfosarcina_AB2,8.5,0.032952548,1
Gallionella_AB1,8.5,0,5
Gallionella_AB2,8.5,0.010984183,5
Fe/SO42-,9.5,3.442940039,-9
SRB,9.5,1.075435204,-10
FeRB,9.5,0.224371373,-8
SOB,9.5,0.25531915,-7
FeOB,9.5,0.046421663,-6
Desulfobulbus_AB1,9.5,2.096711799,2
Desulfobulbus_AB2,9.5,NA,2
Desulfococcus_AB1,9.5,0.201160542,1
Desulfococcus_AB2,9.5,NA,1
Sva0081_sediment_group_AB1,9.5,0.386847195,1
Sva0081_sediment_group_AB2,9.5,NA,1
Arcobacter_AB1,9.5,0.007736944,4
Arcobacter_AB2,9.5,NA,4
Cocleimonas_AB1,9.5,0.015473888,4
Cocleimonas_AB2,9.5,NA,4
Thiobacillus_AB1,9.5,0,4
Thiobacillus_AB2,9.5,NA,4
Sulfurimonas_AB1,9.5,0.201160542,4
Sulfurimonas_AB2,9.5,NA,4
Sulfurovum_AB1,9.5,0.030947776,4
Sulfurovum_AB2,9.5,NA,4
Mariprofundus_AB1,9.5,0.046421663,5
Mariprofundus_AB2,9.5,NA,5
Deferrisoma_AB1,9.5,0.131528046,3
Deferrisoma_AB2,9.5,NA,3
Geobacter_AB1,9.5,0.023210832,3
Geobacter_AB2,9.5,NA,3
Geothermobacter_AB1,9.5,0.015473888,3
Geothermobacter_AB2,9.5,NA,3
Geopsychrobacter_AB1,9.5,0.007736944,3
Geopsychrobacter_AB2,9.5,NA,3
Sva1033_unclassified_AB1,9.5,1.34622824,2
Sva1033_unclassified_AB2,9.5,NA,2
Desulfuromusa_AB1,9.5,0.046421663,3
Desulfuromusa_AB2,9.5,NA,3
SEEP-SRB1_AB1,9.5,0.116054159,1
SEEP-SRB1_AB2,9.5,NA,1
Desulfobacula_AB1,9.5,0.348162476,1
Desulfobacula_AB2,9.5,NA,1
Desulfosarcina_AB1,9.5,0.023210832,1
Desulfosarcina_AB2,9.5,NA,1
Gallionella_AB1,9.5,0,5
Gallionella_AB2,9.5,NA,5
Fe/SO42-,10.5,2.918418839,-9
SRB,10.5,0.958788899,-10
FeRB,10.5,0.235492011,-8
SOB,10.5,0.210260724,-7
FeOB,10.5,0.042052145,-6
Desulfobulbus_AB1,10.5,1.547518923,2
Desulfobulbus_AB2,10.5,NA,2
Desulfococcus_AB1,10.5,0.151387721,1
Desulfococcus_AB2,10.5,NA,1
Sva0081_sediment_group_AB1,10.5,0.370058873,1
Sva0081_sediment_group_AB2,10.5,NA,1
Arcobacter_AB1,10.5,0.008410429,4
Arcobacter_AB2,10.5,NA,4
Cocleimonas_AB1,10.5,0.008410429,4
Cocleimonas_AB2,10.5,NA,4
Thiobacillus_AB1,10.5,0.025231287,4
Thiobacillus_AB2,10.5,NA,4
Sulfurimonas_AB1,10.5,0.151387721,4
Sulfurimonas_AB2,10.5,NA,4
Sulfurovum_AB1,10.5,0.016820858,4
Sulfurovum_AB2,10.5,NA,4
Mariprofundus_AB1,10.5,0.042052145,5
Mariprofundus_AB2,10.5,NA,5
Deferrisoma_AB1,10.5,0.126156434,3
Deferrisoma_AB2,10.5,NA,3
Geobacter_AB1,10.5,0.033641716,3
Geobacter_AB2,10.5,NA,3
Geothermobacter_AB1,10.5,0.008410429,3
Geothermobacter_AB2,10.5,NA,3
Geopsychrobacter_AB1,10.5,0.025231287,3
Geopsychrobacter_AB2,10.5,NA,3
Sva1033_unclassified_AB1,10.5,1.370899916,2
Sva1033_unclassified_AB2,10.5,NA,2
Desulfuromusa_AB1,10.5,0.042052145,3
Desulfuromusa_AB2,10.5,NA,3
SEEP-SRB1_AB1,10.5,0.109335576,1
SEEP-SRB1_AB2,10.5,NA,1
Desulfobacula_AB1,10.5,0.294365013,1
Desulfobacula_AB2,10.5,NA,1
Desulfosarcina_AB1,10.5,0.033641716,1
