Number_of_sequences,AB-1-0-1,AB-1-1-2,AB-1-10-11,AB-1-11-12,AB-1-12-13,AB-1-14-15,AB-1-2-3,AB-1-3-4,AB-1-4-5,AB-1-5-6,AB-1-6-7,AB-1-7-8,AB-1-8-9,AB-1-9-10
10300,1721.406,2063.637,3195.076,2261.059,2416.487,2032,2071.502,1912.901,2105,2285,2326.904,2129.493,2945.034,3272.077
10400,1730.78,2074.484,3216.766,2274.374,2430.062,2044,2083.509,1923.622,2120,2298,2340.43,2141.44,2966.304,3296.183
10500,1740.757,2086.011,3238.938,2287.205,2442.005,2055,2094.729,1934.476,2133,2311,2354.272,2152.862,2987.204,3320.28
10600,1750.291,2097.7,3260.476,2300.948,2454.632,2065,2105.684,1944.94,2142,2321,2366.409,2164.152,3007.933,3342.462
10700,1759.401,2108.588,3282.443,2314.418,2467.58,2071,2116.1,1955.427,2153,2338,2379.24,2176.054,3027.437,3366.921
10800,1768.314,2118.567,3304.065,2327.546,2480.029,2083,2127.058,1965.537,2162,2352,2391.905,2187.975,3047.641,3390.936
10900,1777.537,2128.894,3326.073,2340.447,2493.59,2096,2137.549,1975.902,2170,2367,2404.503,2199.075,3068.209,3414.708
11000,1787.063,2140.621,3347.919,2353.877,2507.37,2102,2147.827,1985.637,2184,2381,2417.742,2210.22,3088.249,3438.091
11100,1796.162,2151.234,3370.18,2367.197,2519.857,2113,2158.503,1995.695,2195,2397,2430.745,2222.496,3108.457,3459.763
11200,1805.418,2161.841,3393.143,2380.855,2532.692,2126,2169.768,2005.074,2208,2408,2442.703,2233.887,3127.768,3481.898
11300,1814.298,2172.355,3414.829,2393.997,2545.266,2139,2180.118,2015.11,2217,2418,2454.946,2244.045,3147.869,3505.835
11400,1823.067,2183.457,3437.214,2406.829,2557.279,2145,2190.474,2024.979,2230,2428,2467.014,2254.325,3168.374,3527.889
11500,1831.42,2192.807,3457.816,2420.51,2569.516,2155,2201.107,2034.696,2243,2439,2480.463,2265.621,3188.406,3550.945
11600,1840.2,2202.895,3479.759,2433.532,2582.175,2166,2212.413,2044.147,2253,2458,2493.46,2276.322,3208.214,3573.443
11700,1849.168,2213.261,3501.463,2446.903,2594.484,2179,2222.813,2053.308,2264,2472,2506.225,2286.579,3226.42,3595.467
11800,1858.656,2223.972,3522.399,2460.147,2606.768,2189,2233.628,2063.399,2274,2484,2518.913,2296.82,3245.606,3618.302
11900,1867.041,2233.767,3544.539,2472.779,2618.295,2198,2244.588,2073.033,2287,2496,2530.795,2306.679,3265.188,3639.998
12000,1876.038,2243.884,3566.123,2484.998,2630.536,2205,2255.173,2082.821,2301,2510,2542.737,2317.087,3284.928,3662.815
12100,1884.13,2254.687,3588.259,2498.307,2642.347,2211,2266.048,2092.659,2314,2522,2554.709,2327.713,3303.648,3684.928
12200,1892.206,2264.746,3610.573,2511.277,2653.961,2219,2277.335,2102.445,2324,2531,2567.191,2337.615,3322.51,3707.918
12300,1900.519,2275.242,3632.309,2523.908,2666.506,2226,2287.904,2111.405,2327,2540,2580.073,2348.145,3341.619,3730.039
12400,1909.169,2285.712,3653.779,2536.554,2678.751,2238,2297.617,2119.942,2341,2552,2591.157,2358.467,3361.252,3752.531
12500,1917.849,2295.703,3674.096,2548.535,2690.358,2249,2307.875,2128.89,2352,2564,2602.702,2367.996,3379.95,3775.714
12600,1925.27,2304.898,3695.441,2561.03,2701.91,2258,2317.675,2137.811,2359,2573,2615.277,2378.562,3399.388,3797.576
12700,1934.1,2314.552,3718.18,2573.785,2713.469,2269,2328.21,2147.124,2369,2582,2626.606,2389.176,3418.304,3819.478
12800,1943.306,2324.882,3739.274,2586.239,2724.775,2279,2338.666,2155.697,2380,2592,2638.062,2399.605,3437.573,3842.008
12900,1952.285,2334.998,3759.717,2599.238,2735.948,2287,2349.032,2164.98,2388,2605,2649.986,2411.063,3456.54,3864.515
13000,1960.677,2344.585,3780.061,2610.578,2747.644,2298,2359.967,2174.012,2394,2617,2661.974,2421.835,3475.689,3886.451
13100,1968.932,2354.794,3801.059,2623.055,2759.239,2312,2370.248,2183.18,2404,2625,2673.43,2432.126,3494.187,3909.176
13200,1977.347,2364.848,3822.068,2635.014,2771.057,2320,2381.075,2191.771,2419,2636,2685.379,2441.938,3512.7,3931.397
13300,1985.494,2374.883,3842.397,2646.267,2782.563,2332,2390.687,2200.699,2432,2648,2698.016,2451.976,3531,3953.101
13400,1993.329,2384.093,3862.759,2658.232,2793.716,2342,2400.278,2210.03,2440,2662,2709.704,2462.275,3549.876,3976.034
13500,2001.524,2394.303,3883.68,2669.832,2805.188,2350,2410.673,2218.725,2450,2674,2721.612,2472.138,3568.66,3998.393
13600,2009.92,2403.506,3904.827,2681.926,2815.813,2362,2421.014,2227.881,2460,2691,2733.28,2481.742,3586.844,4021.235
13700,2017.507,2412.965,3926.353,2693.229,2827.142,2371,2430.455,2236.263,2468,2706,2744.173,2491.277,3605.244,4043.101
13800,2025.962,2422.354,3947.263,2705.074,2837.585,2383,2440.58,2244.647,2476,2715,2755.539,2500.765,3623.211,4063.585
13900,2033.959,2431.897,3967.445,2716.343,2848.204,2391,2450.706,2253.851,2489,2727,2767.091,2510.954,3641.607,4084.636
14000,2041.64,2441.386,3988.351,2728.606,2859.227,2399,2460.172,2262.168,2498,2741,2778.233,2520.891,3658.685,4105.716
14100,2050.31,2450.774,4008.824,2740.467,2870.833,2410,2469.802,2270.701,2503,2754,2789.596,2531.127,3675.709,4128.249
14200,2058.484,2460.128,4028.574,2751.871,2881.709,2420,2478.995,2279.32,2509,2764,2800.961,2541.822,3694.145,4149.813
14300,2066.13,2468.591,4049.008,2764.289,2892.44,2427,2488.195,2287.573,2516,2774,2812.008,2551.429,3712.842,4171.115
14400,2073.798,2478.458,4070.344,2775.897,2902.649,2438,2497.692,2295.484,2523,2784,2823.306,2560.838,3731.973,4192.609
14500,2081.428,2487.379,4089.636,2787.395,2913.778,2447,2507.357,2304.118,2534,2797,2833.738,2570.126,3750.07,4214.397
14600,2089.298,2496.565,4109.76,2798.223,2925.156,2453,2517.624,2313.424,2540,2805,2845.514,2579.04,3768.801,4236.599
14700,2096.215,2505.666,4129.188,2810.253,2935.675,2459,2526.911,2321.626,2554,2814,2856.748,2588.379,3786.27,4258.345
14800,2103.978,2514.858,4149.017,2821.978,2947.17,2471,2535.833,2329.949,2563,2825,2867.298,2598.277,3804.616,4279.653
14900,2111.392,2524.515,4170.133,2834.09,2958.091,2476,2545.343,2337.95,2575,2832,2877.997,2606.828,3822.154,4300.914
15000,2119.641,2532.79,4190.768,2844.259,2968.665,2486,2554.54,2346.462,2588,2844,2888.394,2615.507,3841.097,4322.166
15100,2127.159,2542.38,4210.74,2856.105,2978.83,2496,2563.569,2354.872,2604,2858,2899.622,2624.446,3859.916,4343.471
15200,2134.707,2551.89,4229.365,2866.946,2989.057,2504,2571.581,2363.593,2611,2873,2911.094,2633.574,3877.581,4364.324
15300,2142.042,2561.011,4249.161,2878.157,2999.06,2513,2581.075,2372.003,2624,2883,2922.311,2642.652,3896.921,4384.637
15400,2149.657,2570.321,4269.494,2889.569,3009.839,2523,2589.676,2379.322,2634,2894,2934.347,2652.022,3915.608,4405.2
15500,2157.441,2578.771,4289.275,2900.971,3021.102,2532,2598.808,2388.314,2646,2908,2945.481,2662.25,3933.189,4426.07
15600,2165.043,2588.304,4309.903,2912.74,3031.539,2541,2608.156,2397.537,2657,2922,2955.894,2670.743,3951.378,4448.714
15700,2172.504,2597.579,4329.973,2923.361,3041.567,2547,2616.771,2406.033,2665,2934,2966.814,2679.751,3969.875,4469.749
15800,2180.376,2605.589,4350.302,2934.057,3051.491,2552,2626.099,2414.01,2674,2936,2976.994,2688.427,3988.37,4490.797
15900,2187.451,2613.933,4370.199,2945.456,3062.19,2559,2635.625,2422.758,2688,2944,2987.469,2697.423,4005.171,4510.791
16000,2194.798,2621.975,4389.735,2956.131,3072.361,2566,2644.389,2431.648,2700,2953,2997.432,2706.862,4024.435,4532.545
16100,2201.986,2629.957,4409.541,2967.053,3082.454,2571,2653.244,2439.337,2707,2963,3007.128,2716.075,4043.056,4553.78
16200,2209.204,2638.539,4428.961,2977.687,3092.679,2579,2662.593,2447.641,2715,2979,3017.847,2724.814,4060.831,4574.86
16300,2216.965,2647.937,4448.755,2988.838,3102.464,2586,2671.47,2455.332,2723,2989,3028.099,2733.03,4078.97,4596.389
16400,2224.627,2656.385,4467.505,3000.453,3113.152,2593,2680.794,2462.849,2731,3005,3038.115,2742.515,4096.802,4617.055
16500,2231.544,2665.549,4487.238,3011.592,3123.023,2602,2689.591,2470.211,2738,3020,3048.689,2750.874,4114.625,4636.924
16600,2239.021,2675.109,4507.565,3022.286,3132.324,2609,2698.533,2478.8,2748,3029,3059.095,2759.921,4132.788,4657.908
16700,2246.617,2683.661,4526.703,3033.903,3141.772,2617,2706.824,2486.584,2755,3044,3068.757,2768.288,4150.29,4677.83
16800,2254.748,2692.245,4545.359,3044.828,3151.456,2626,2715.317,2494.887,2761,3057,3079.68,2777.243,4167.915,4698.853
16900,2262.586,2700.542,4564.904,3055.785,3161.28,2634,2724.577,2502.122,2769,3068,3090.594,2786.174,4184.984,4719.616
17000,2269.943,2708.904,4585.282,3067.472,3170.917,2643,2733.923,2510.139,2776,3079,3100.87,2794.824,4201.861,4741.059
17100,2276.84,2717.448,4605.356,3078.277,3181.43,2650,2742.658,2518.277,2788,3093,3111.437,2803.461,4219.157,4761.667
17200,2284.034,2725.3,4625.36,3090.077,3191.619,2654,2751.102,2525.749,2795,3103,3121.516,2811.407,4237.137,4782.33
17300,2290.986,2733.937,4644.871,3100.842,3200.528,2664,2759.234,2533.785,2805,3117,3131.818,2820.135,4255.213,4802.795
