Number_of_sequences,AB-2-1-2,AB-2-13-14,AB-2-14-15,AB-2-16-17,AB-2-17-18,AB-2-18-19,AB-2-2-3,AB-2-3-4,AB-2-4-5,AB-2-0-1,AB-2-10-11,AB-2-12-13,AB-2-5-6,AB-2-6-7,AB-2-7-8,AB-2-8-9,AB-2-9-10
222300,23268.358,NA,NA,NA,NA,NA,NA,22124.19,NA,19368.724,NA,17750.949,21084.445,NA,NA,NA,22577.832
222400,23274.798,NA,NA,NA,NA,NA,NA,22130.077,NA,19373.705,NA,17755.593,21089.798,NA,NA,NA,22583.577
222500,23282.095,NA,NA,NA,NA,NA,NA,22135.882,NA,19379.046,NA,17759.983,21095.081,NA,NA,NA,22588.916
222600,23288.309,NA,NA,NA,NA,NA,NA,22142.216,NA,19384.559,NA,17764.691,21100.232,NA,NA,NA,22594.835
222700,23294.391,NA,NA,NA,NA,NA,NA,22148.006,NA,19389.94,NA,17768.938,21105.386,NA,NA,NA,22600.748
222800,23301.392,NA,NA,NA,NA,NA,NA,22153.667,NA,19395.758,NA,17773.177,21110.537,NA,NA,NA,22606.897
222900,23308.121,NA,NA,NA,NA,NA,NA,22159.01,NA,19400.733,NA,17778.116,21115.829,NA,NA,NA,22612.628
223000,23314.209,NA,NA,NA,NA,NA,NA,22164.355,NA,19406.032,NA,17782.44,21120.856,NA,NA,NA,22618.316
223100,23320.698,NA,NA,NA,NA,NA,NA,22169.645,NA,19411.64,NA,17786.794,21126.348,NA,NA,NA,22624.718
223200,23327.503,NA,NA,NA,NA,NA,NA,22175.462,NA,19416.734,NA,17791.112,21131.958,NA,NA,NA,22630.586
223300,23334.574,NA,NA,NA,NA,NA,NA,22181.71,NA,19421.663,NA,17795.479,21137.28,NA,NA,NA,22636.439
223400,23341.673,NA,NA,NA,NA,NA,NA,22187.082,NA,19426.265,NA,17799.583,21142.307,NA,NA,NA,22642.571
223500,23348.224,NA,NA,NA,NA,NA,NA,22193.564,NA,19431.428,NA,17803.956,21147.467,NA,NA,NA,22649.153
223600,23354.665,NA,NA,NA,NA,NA,NA,22198.66,NA,19436.983,NA,17808.155,21152.753,NA,NA,NA,22654.708
223700,23361.068,NA,NA,NA,NA,NA,NA,22203.573,NA,19442.239,NA,17812.868,21158.273,NA,NA,NA,22660.892
223800,23367.866,NA,NA,NA,NA,NA,NA,22209.701,NA,19447.407,NA,17817.226,21163.254,NA,NA,NA,22666.695
223900,23374.294,NA,NA,NA,NA,NA,NA,22215.396,NA,19452.647,NA,17821.837,21168.046,NA,NA,NA,22673.126
224000,23380.525,NA,NA,NA,NA,NA,NA,22221.394,NA,19457.879,NA,17826.271,21172.923,NA,NA,NA,22678.917
224100,23386.995,NA,NA,NA,NA,NA,NA,22227.366,NA,19463.263,NA,17830.445,21178.394,NA,NA,NA,22684.952
224200,23393.123,NA,NA,NA,NA,NA,NA,22233.146,NA,19468.296,NA,17834.558,21183.192,NA,NA,NA,22690.998
224300,23400.025,NA,NA,NA,NA,NA,NA,22238.875,NA,19473.252,NA,17839.05,21187.799,NA,NA,NA,22697.005
224400,23406.776,NA,NA,NA,NA,NA,NA,22244.016,NA,19478.692,NA,17843.378,21193.453,NA,NA,NA,22703.433
224500,23413.392,NA,NA,NA,NA,NA,NA,22249.116,NA,19483.625,NA,17847.487,21198.616,NA,NA,NA,22709.48
224600,23419.849,NA,NA,NA,NA,NA,NA,22254.686,NA,19489.009,NA,17851.693,21204.06,NA,NA,NA,22715.477
224700,23426.3,NA,NA,NA,NA,NA,NA,22260.415,NA,19493.605,NA,17856.467,21209.649,NA,NA,NA,22721.422
224800,23433.239,NA,NA,NA,NA,NA,NA,22265.567,NA,19498.955,NA,17860.768,21214.433,NA,NA,NA,22727.083
224900,23439.845,NA,NA,NA,NA,NA,NA,22271.307,NA,19504.402,NA,17864.818,21219.489,NA,NA,NA,22733.133
225000,23446.352,NA,NA,NA,NA,NA,NA,22276.579,NA,19509.701,NA,17869.045,21224.557,NA,NA,NA,22739.496
225096,23452.879,NA,NA,NA,NA,NA,NA,22281.943,NA,19514.283,NA,17873,21228.944,NA,NA,NA,22745.051
225100,23453.074,NA,NA,NA,NA,NA,NA,22282.184,NA,19514.462,NA,NA,21229.136,NA,NA,NA,22745.31
225200,23459.821,NA,NA,NA,NA,NA,NA,22288.155,NA,19519.384,NA,NA,21234.099,NA,NA,NA,22750.73
225300,23466.371,NA,NA,NA,NA,NA,NA,22293.944,NA,19523.943,NA,NA,21239.085,NA,NA,NA,22756.564
225400,23473.263,NA,NA,NA,NA,NA,NA,22299.173,NA,19529.244,NA,NA,21244.669,NA,NA,NA,22762.834
225500,23479.36,NA,NA,NA,NA,NA,NA,22305.276,NA,19534.276,NA,NA,21250.098,NA,NA,NA,22769.125
225600,23485.851,NA,NA,NA,NA,NA,NA,22311.432,NA,19539.417,NA,NA,21255.303,NA,NA,NA,22774.823
225700,23492.443,NA,NA,NA,NA,NA,NA,22317.428,NA,19544.921,NA,NA,21260.111,NA,NA,NA,22781.108
225800,23498.802,NA,NA,NA,NA,NA,NA,22322.988,NA,19550.39,NA,NA,21264.972,NA,NA,NA,22787.147
225900,23505.821,NA,NA,NA,NA,NA,NA,22328.639,NA,19555.571,NA,NA,21269.815,NA,NA,NA,22793.371
226000,23512.406,NA,NA,NA,NA,NA,NA,22334.091,NA,19560.714,NA,NA,21274.963,NA,NA,NA,22799.388
226100,23519.222,NA,NA,NA,NA,NA,NA,22339.407,NA,19566.44,NA,NA,21279.829,NA,NA,NA,22805.483
226200,23526.233,NA,NA,NA,NA,NA,NA,22345.263,NA,19571.645,NA,NA,21285.245,NA,NA,NA,22811.885
226300,23532.985,NA,NA,NA,NA,NA,NA,22350.773,NA,19576.419,NA,NA,21290.201,NA,NA,NA,22817.527
226400,23539.574,NA,NA,NA,NA,NA,NA,22356.922,NA,19581.195,NA,NA,21295.05,NA,NA,NA,22823.696
226500,23545.868,NA,NA,NA,NA,NA,NA,22362.523,NA,19586.519,NA,NA,21299.999,NA,NA,NA,22829.245
226600,23552.36,NA,NA,NA,NA,NA,NA,22368.118,NA,19591.605,NA,NA,21304.889,NA,NA,NA,22834.438
226700,23559.596,NA,NA,NA,NA,NA,NA,22373.963,NA,19596.899,NA,NA,21310.228,NA,NA,NA,22840.355
226800,23566.272,NA,NA,NA,NA,NA,NA,22379.939,NA,19602.248,NA,NA,21315.541,NA,NA,NA,22846.574
226900,23572.908,NA,NA,NA,NA,NA,NA,22385.692,NA,19607.69,NA,NA,21320.447,NA,NA,NA,22852.939
227000,23579.867,NA,NA,NA,NA,NA,NA,22391.366,NA,19612.392,NA,NA,21325.959,NA,NA,NA,22859.076
227100,23586.441,NA,NA,NA,NA,NA,NA,22396.514,NA,19616.969,NA,NA,21331.375,NA,NA,NA,22865.202
227200,23593.592,NA,NA,NA,NA,NA,NA,22402.031,NA,19621.96,NA,NA,21336.589,NA,NA,NA,22871.212
227300,23599.915,NA,NA,NA,NA,NA,NA,22407.187,NA,19626.919,NA,NA,21341.427,NA,NA,NA,22877.26
227400,23606.067,NA,NA,NA,NA,NA,NA,22412.714,NA,19632.11,NA,NA,21346.344,NA,NA,NA,22883.105
227500,23612.455,NA,NA,NA,NA,NA,NA,22418.357,NA,19636.855,NA,NA,21351.547,NA,NA,NA,22889.086
227600,23619.281,NA,NA,NA,NA,NA,NA,22423.681,NA,19641.772,NA,NA,21357.071,NA,NA,NA,22894.052
227700,23625.749,NA,NA,NA,NA,NA,NA,22429.334,NA,19647.157,NA,NA,21361.971,NA,NA,NA,22900.022
227800,23632.366,NA,NA,NA,NA,NA,NA,22434.423,NA,19652.479,NA,NA,21367.46,NA,NA,NA,22906.379
227900,23638.82,NA,NA,NA,NA,NA,NA,22440.198,NA,19657.175,NA,NA,21372.276,NA,NA,NA,22911.967
228000,23644.972,NA,NA,NA,NA,NA,NA,22444.873,NA,19662.367,NA,NA,21377.278,NA,NA,NA,22917.794
228100,23651.289,NA,NA,NA,NA,NA,NA,22450.151,NA,19667.941,NA,NA,21382.574,NA,NA,NA,22923.515
228200,23657.442,NA,NA,NA,NA,NA,NA,22455.435,NA,19673.331,NA,NA,21387.87,NA,NA,NA,22929.416
228300,23663.988,NA,NA,NA,NA,NA,NA,22460.633,NA,19678.969,NA,NA,21392.76,NA,NA,NA,22935.547
228400,23670.942,NA,NA,NA,NA,NA,NA,22466.27,NA,19683.966,NA,NA,21397.798,NA,NA,NA,22941.558
228500,23677.813,NA,NA,NA,NA,NA,NA,22472.046,NA,19689.452,NA,NA,21402.935,NA,NA,NA,22947.387
228600,23684.454,NA,NA,NA,NA,NA,NA,22477.654,NA,19694.638,NA,NA,21407.78,NA,NA,NA,22953.402
228700,23691.008,NA,NA,NA,NA,NA,NA,22483.373,NA,19699.792,NA,NA,21412.632,NA,NA,NA,22959.11
228800,23697.443,NA,NA,NA,NA,NA,NA,22488.841,NA,19705.318,NA,NA,21417.632,NA,NA,NA,22964.801
228900,23704.073,NA,NA,NA,NA,NA,NA,22494.487,NA,19710.565,NA,NA,21422.323,NA,NA,NA,22970.256
228924,23705.768,NA,NA,NA,NA,NA,NA,22496,NA,19711.615,NA,NA,21423.468,NA,NA,NA,22971.652
229000,23711.25,NA,NA,NA,NA,NA,NA,NA,NA,19715.34,NA,NA,21427.21,NA,NA,NA,22976.453
229100,23717.898,NA,NA,NA,NA,NA,NA,NA,NA,19720.776,NA,NA,21432.691,NA,NA,NA,22982.336
229200,23724.893,NA,NA,NA,NA,NA,NA,NA,NA,19726.002,NA,NA,21437.95,NA,NA,NA,22988.472
229300,23731.317,NA,NA,NA,NA,NA,NA,NA,NA,19730.951,NA,NA,21443.082,NA,NA,NA,22994.294
229400,23738.139,NA,NA,NA,NA,NA,NA,NA,NA,19736.364,NA,NA,21447.84,NA,NA,NA,23000.053
229500,23745.046,NA,NA,NA,NA,NA,NA,NA,NA,19741.314,NA,NA,21452.845,NA,NA,NA,23006.075
229600,23751.337,NA,NA,NA,NA,NA,NA,NA,NA,19746.443,NA,NA,21458.042,NA,NA,NA,23012.108
229700,23757.963,NA,NA,NA,NA,NA,NA,NA,NA,19751.284,NA,NA,21463.484,NA,NA,NA,23018.185
229800,23764.292,NA,NA,NA,NA,NA,NA,NA,NA,19757.069,NA,NA,21468.711,NA,NA,NA,23024.207
229900,23771.255,NA,NA,NA,NA,NA,NA,NA,NA,19761.92,NA,NA,21473.549,NA,NA,NA,23030.247
230000,23777.57,NA,NA,NA,NA,NA,NA,NA,NA,19767.251,NA,NA,21478.772,NA,NA,NA,23036.07
230100,23784.398,NA,NA,NA,NA,NA,NA,NA,NA,19772.404,NA,NA,21483.828,NA,NA,NA,23042.25
230200,23790.925,NA,NA,NA,NA,NA,NA,NA,NA,19778.238,NA,NA,21488.904,NA,NA,NA,23048.158
230300,23797.952,NA,NA,NA,NA,NA,NA,NA,NA,19783.444,NA,NA,21493.987,NA,NA,NA,23053.644
230360,23801.888,NA,NA,NA,NA,NA,NA,NA,NA,19786.018,NA,NA,21497.261,NA,NA,NA,23057.563
230400,23804.343,NA,NA,NA,NA,NA,NA,NA,NA,19787.799,NA,NA,21499.622,NA,NA,NA,23059.777
230500,23810.762,NA,NA,NA,NA,NA,NA,NA,NA,19793.151,NA,NA,21504.758,NA,NA,NA,23065.597
230600,23816.974,NA,NA,NA,NA,NA,NA,NA,NA,19797.862,NA,NA,21509.782,NA,NA,NA,23071.065
230700,23823.791,NA,NA,NA,NA,NA,NA,NA,NA,19803.408,NA,NA,21514.957,NA,NA,NA,23076.916
230800,23829.923,NA,NA,NA,NA,NA,NA,NA,NA,19808.834,NA,NA,21520.227,NA,NA,NA,23082.989
230900,23836.001,NA,NA,NA,NA,NA,NA,NA,NA,19813.891,NA,NA,21525.608,NA,NA,NA,23088.868
231000,23842.699,NA,NA,NA,NA,NA,NA,NA,NA,19818.989,NA,NA,21530.714,NA,NA,NA,23095.12
231100,23849.314,NA,NA,NA,NA,NA,NA,NA,NA,19823.944,NA,NA,21536.354,NA,NA,NA,23101.251
231149,23851.962,NA,NA,NA,NA,NA,NA,NA,NA,19826.558,NA,NA,21538.797,NA,NA,NA,23104.276
231200,23855.456,NA,NA,NA,NA,NA,NA,NA,NA,19829.427,NA,NA,21541.481,NA,NA,NA,23107.149
231300,23861.664,NA,NA,NA,NA,NA,NA,NA,NA,19834.733,NA,NA,21546.695,NA,NA,NA,23112.649
231400,23868.236,NA,NA,NA,NA,NA,NA,NA,NA,19839.713,NA,NA,21551.773,NA,NA,NA,23118.606
231500,23874.876,NA,NA,NA,NA,NA,NA,NA,NA,19844.74,NA,NA,21556.522,NA,NA,NA,23124.462
231600,23881.259,NA,NA,NA,NA,NA,NA,NA,NA,19850.334,NA,NA,21561.587,NA,NA,NA,23130.879
231700,23888.025,NA,NA,NA,NA,NA,NA,NA,NA,19855.259,NA,NA,21566.746,NA,NA,NA,23136.884
231800,23894.692,NA,NA,NA,NA,NA,NA,NA,NA,19860.422,NA,NA,21571.465,NA,NA,NA,23142.651
231900,23901.321,NA,NA,NA,NA,NA,NA,NA,NA,19865.712,NA,NA,21576.71,NA,NA,NA,23147.784
232000,23907.653,NA,NA,NA,NA,NA,NA,NA,NA,19871.143,NA,NA,21581.471,NA,NA,NA,23153.644
232100,23913.648,NA,NA,NA,NA,NA,NA,NA,NA,19876.687,NA,NA,21585.679,NA,NA,NA,23159.548
232200,23920.114,NA,NA,NA,NA,NA,NA,NA,NA,19881.446,NA,NA,21591.175,NA,NA,NA,23165.791
232300,23926.822,NA,NA,NA,NA,NA,NA,NA,NA,19886.362,NA,NA,21596.284,NA,NA,NA,23171.81
232400,23933.094,NA,NA,NA,NA,NA,NA,NA,NA,19891.54,NA,NA,21601.384,NA,NA,NA,23178.01
232500,23939.628,NA,NA,NA,NA,NA,NA,NA,NA,19896.703,NA,NA,21606.009,NA,NA,NA,23184.003
232600,23946.198,NA,NA,NA,NA,NA,NA,NA,NA,19902.204,NA,NA,21611.101,NA,NA,NA,23190.291
232700,23952.718,NA,NA,NA,NA,NA,NA,NA,NA,19907.61,NA,NA,21616.048,NA,NA,NA,23196.288
232800,23960.065,NA,NA,NA,NA,NA,NA,NA,NA,19912.598,NA,NA,21620.953,NA,NA,NA,23202.224
232900,23966.131,NA,NA,NA,NA,NA,NA,NA,NA,19917.33,NA,NA,21625.909,NA,NA,NA,23207.84
233000,23972.85,NA,NA,NA,NA,NA,NA,NA,NA,19921.984,NA,NA,21630.975,NA,NA,NA,23213.508
233100,23979.047,NA,NA,NA,NA,NA,NA,NA,NA,19927.093,NA,NA,21636,NA,NA,NA,23219.546
233200,23985.222,NA,NA,NA,NA,NA,NA,NA,NA,19932.254,NA,NA,21641.222,NA,NA,NA,23225.526
233300,23991.719,NA,NA,NA,NA,NA,NA,NA,NA,19937.757,NA,NA,21646.116,NA,NA,NA,23231.129
233400,23998.141,NA,NA,NA,NA,NA,NA,NA,NA,19943.463,NA,NA,21651.207,NA,NA,NA,23237.301
233500,24005.109,NA,NA,NA,NA,NA,NA,NA,NA,19948.287,NA,NA,21656.266,NA,NA,NA,23243.43
233600,24011.408,NA,NA,NA,NA,NA,NA,NA,NA,19953.55,NA,NA,21660.977,NA,NA,NA,23249.346
233700,24017.507,NA,NA,NA,NA,NA,NA,NA,NA,19958.328,NA,NA,21666.567,NA,NA,NA,23255.549
233800,24023.706,NA,NA,NA,NA,NA,NA,NA,NA,19963.378,NA,NA,21671.971,NA,NA,NA,23261.34
233900,24029.398,NA,NA,NA,NA,NA,NA,NA,NA,19968.264,NA,NA,21677.111,NA,NA,NA,23267.587
233921,24030.866,NA,NA,NA,NA,NA,NA,NA,NA,19969.282,NA,NA,21678.268,NA,NA,NA,23268.879
234000,24036.358,NA,NA,NA,NA,NA,NA,NA,NA,19973.668,NA,NA,21682.173,NA,NA,NA,23273.654
234100,24043.031,NA,NA,NA,NA,NA,NA,NA,NA,19978.588,NA,NA,21687.526,NA,NA,NA,23279.225
234200,24049.878,NA,NA,NA,NA,NA,NA,NA,NA,19983.839,NA,NA,21692.609,NA,NA,NA,23284.849
234300,24055.933,NA,NA,NA,NA,NA,NA,NA,NA,19989.011,NA,NA,21697.968,NA,NA,NA,23290.283
234400,24062.267,NA,NA,NA,NA,NA,NA,NA,NA,19993.898,NA,NA,21702.814,NA,NA,NA,23296.224
234500,24069.142,NA,NA,NA,NA,NA,NA,NA,NA,19999.031,NA,NA,21707.664,NA,NA,NA,23302.435
234600,24075.575,NA,NA,NA,NA,NA,NA,NA,NA,20003.844,NA,NA,21712.774,NA,NA,NA,23308.008
234700,24082.327,NA,NA,NA,NA,NA,NA,NA,NA,20009.215,NA,NA,21717.808,NA,NA,NA,23313.533
234800,24089.079,NA,NA,NA,NA,NA,NA,NA,NA,20014.211,NA,NA,21722.668,NA,NA,NA,23319.114
234900,24096.124,NA,NA,NA,NA,NA,NA,NA,NA,20019.624,NA,NA,21728.211,NA,NA,NA,23324.838
235000,24102.794,NA,NA,NA,NA,NA,NA,NA,NA,20024.78,NA,NA,21733.334,NA,NA,NA,23331.03
235100,24108.476,NA,NA,NA,NA,NA,NA,NA,NA,20030.085,NA,NA,21738.493,NA,NA,NA,23337.329
235200,24114.944,NA,NA,NA,NA,NA,NA,NA,NA,20034.671,NA,NA,21743.226,NA,NA,NA,23342.773
235300,24121.599,NA,NA,NA,NA,NA,NA,NA,NA,20040.367,NA,NA,21748.1,NA,NA,NA,23348.583
235400,24128.156,NA,NA,NA,NA,NA,NA,NA,NA,20045.859,NA,NA,21752.924,NA,NA,NA,23354.206
235500,24135.096,NA,NA,NA,NA,NA,NA,NA,NA,20050.88,NA,NA,21758.013,NA,NA,NA,23360.222
235600,24141.629,NA,NA,NA,NA,NA,NA,NA,NA,20056.152,NA,NA,21762.706,NA,NA,NA,23366.045
235700,24148.263,NA,NA,NA,NA,NA,NA,NA,NA,20061.076,NA,NA,21767.284,NA,NA,NA,23371.669
235800,24155.124,NA,NA,NA,NA,NA,NA,NA,NA,20066.126,NA,NA,21772.079,NA,NA,NA,23377.395
235900,24161.257,NA,NA,NA,NA,NA,NA,NA,NA,20070.82,NA,NA,21776.667,NA,NA,NA,23382.823
236000,24167.784,NA,NA,NA,NA,NA,NA,NA,NA,20075.928,NA,NA,21781.5,NA,NA,NA,23388.679
236100,24174.087,NA,NA,NA,NA,NA,NA,NA,NA,20080.528,NA,NA,21786.617,NA,NA,NA,23394.356
236200,24180.285,NA,NA,NA,NA,NA,NA,NA,NA,20085.451,NA,NA,21791.792,NA,NA,NA,23400.082
236300,24187.149,NA,NA,NA,NA,NA,NA,NA,NA,20090.779,NA,NA,21796.362,NA,NA,NA,23405.984
236400,24193.635,NA,NA,NA,NA,NA,NA,NA,NA,20095.834,NA,NA,21801.412,NA,NA,NA,23411.321
236500,24199.947,NA,NA,NA,NA,NA,NA,NA,NA,20101.458,NA,NA,21806.609,NA,NA,NA,23417.454
236600,24206.237,NA,NA,NA,NA,NA,NA,NA,NA,20106.62,NA,NA,21811.316,NA,NA,NA,23423.347
236700,24212.753,NA,NA,NA,NA,NA,NA,NA,NA,20111.634,NA,NA,21816.832,NA,NA,NA,23429.138
236800,24219.012,NA,NA,NA,NA,NA,NA,NA,NA,20116.653,NA,NA,21821.782,NA,NA,NA,23435.177
236900,24225.265,NA,NA,NA,NA,NA,NA,NA,NA,20121.814,NA,NA,21826.321,NA,NA,NA,23441.279
237000,24231.372,NA,NA,NA,NA,NA,NA,NA,NA,20127.094,NA,NA,21831.297,NA,NA,NA,23446.938
237100,24238.108,NA,NA,NA,NA,NA,NA,NA,NA,20132.319,NA,NA,21836.442,NA,NA,NA,23452.934
237200,24244.88,NA,NA,NA,NA,NA,NA,NA,NA,20137.648,NA,NA,21841.471,NA,NA,NA,23458.236
237300,24251.306,NA,NA,NA,NA,NA,NA,NA,NA,20142.518,NA,NA,21846.399,NA,NA,NA,23464.121
237400,24257.496,NA,NA,NA,NA,NA,NA,NA,NA,20147.268,NA,NA,21851.279,NA,NA,NA,23470.082
237500,24263.983,NA,NA,NA,NA,NA,NA,NA,NA,20152.016,NA,NA,21856.039,NA,NA,NA,23475.571
237600,24270.043,NA,NA,NA,NA,NA,NA,NA,NA,20157.177,NA,NA,21860.721,NA,NA,NA,23481.21
237700,24276.567,NA,NA,NA,NA,NA,NA,NA,NA,20161.983,NA,NA,21865.979,NA,NA,NA,23487.128
237800,24282.39,NA,NA,NA,NA,NA,NA,NA,NA,20167.08,NA,NA,21871.209,NA,NA,NA,23492.915
237900,24288.786,NA,NA,NA,NA,NA,NA,NA,NA,20171.777,NA,NA,21876.222,NA,NA,NA,23499.368
237991,24294.654,NA,NA,NA,NA,NA,NA,NA,NA,20176.212,NA,NA,21881.125,NA,NA,NA,23504.898
238000,24295.329,NA,NA,NA,NA,NA,NA,NA,NA,20176.55,NA,NA,21881.573,NA,NA,NA,23505.238
238100,24301.715,NA,NA,NA,NA,NA,NA,NA,NA,20181.426,NA,NA,21886.655,NA,NA,NA,23511.011
238200,24308.336,NA,NA,NA,NA,NA,NA,NA,NA,20186.655,NA,NA,21891.75,NA,NA,NA,23516.447
238300,24314.484,NA,NA,NA,NA,NA,NA,NA,NA,20191.315,NA,NA,21896.886,NA,NA,NA,23522.197
238400,24321.556,NA,NA,NA,NA,NA,NA,NA,NA,20196.114,NA,NA,21901.796,NA,NA,NA,23527.893
238500,24328.087,NA,NA,NA,NA,NA,NA,NA,NA,20201.119,NA,NA,21906.89,NA,NA,NA,23533.477
238600,24333.918,NA,NA,NA,NA,NA,NA,NA,NA,20206.327,NA,NA,21912.091,NA,NA,NA,23539.472
238700,24340.326,NA,NA,NA,NA,NA,NA,NA,NA,20211.376,NA,NA,21917.451,NA,NA,NA,23545.361
238800,24345.932,NA,NA,NA,NA,NA,NA,NA,NA,20216.286,NA,NA,21922.461,NA,NA,NA,23551.309
238900,24352.502,NA,NA,NA,NA,NA,NA,NA,NA,20221.324,NA,NA,21927.427,NA,NA,NA,23556.424
239000,24359.046,NA,NA,NA,NA,NA,NA,NA,NA,20225.946,NA,NA,21932.284,NA,NA,NA,23562.628
239100,24365.33,NA,NA,NA,NA,NA,NA,NA,NA,20230.876,NA,NA,21937.31,NA,NA,NA,23568.066
239200,24371.99,NA,NA,NA,NA,NA,NA,NA,NA,20235.58,NA,NA,21942.502,NA,NA,NA,23573.638
239300,24378.554,NA,NA,NA,NA,NA,NA,NA,NA,20241.56,NA,NA,21947.081,NA,NA,NA,23580.174
239348,24381.392,NA,NA,NA,NA,NA,NA,NA,NA,20244.075,NA,NA,21949.309,NA,NA,NA,23582.92
239400,24384.987,NA,NA,NA,NA,NA,NA,NA,NA,20246.34,NA,NA,21952.162,NA,NA,NA,23585.699
239500,24391.316,NA,NA,NA,NA,NA,NA,NA,NA,20251.666,NA,NA,21957.079,NA,NA,NA,23591.239
239600,24397.428,NA,NA,NA,NA,NA,NA,NA,NA,20256.6,NA,NA,21962.365,NA,NA,NA,23597.313
239700,24404.041,NA,NA,NA,NA,NA,NA,NA,NA,20262.196,NA,NA,21967.323,NA,NA,NA,23603.226
239800,24410.528,NA,NA,NA,NA,NA,NA,NA,NA,20267,NA,NA,21972.502,NA,NA,NA,23608.826
239900,24417.052,NA,NA,NA,NA,NA,NA,NA,NA,20272.221,NA,NA,21977.32,NA,NA,NA,23614.406
240000,24423.044,NA,NA,NA,NA,NA,NA,NA,NA,20276.91,NA,NA,21982.11,NA,NA,NA,23620.103
240100,24429.869,NA,NA,NA,NA,NA,NA,NA,NA,20282.103,NA,NA,21987.142,NA,NA,NA,23625.995
240200,24436.421,NA,NA,NA,NA,NA,NA,NA,NA,20286.865,NA,NA,21992.483,NA,NA,NA,23632.087
240300,24442.679,NA,NA,NA,NA,NA,NA,NA,NA,20292.279,NA,NA,21997.422,NA,NA,NA,23637.967
240400,24448.855,NA,NA,NA,NA,NA,NA,NA,NA,20297.753,NA,NA,22002.219,NA,NA,NA,23643.439
240500,24454.983,NA,NA,NA,NA,NA,NA,NA,NA,20303.196,NA,NA,22006.856,NA,NA,NA,23649.421
240600,24461.267,NA,NA,NA,NA,NA,NA,NA,NA,20308.073,NA,NA,22011.674,NA,NA,NA,23655.792
240700,24467.569,NA,NA,NA,NA,NA,NA,NA,NA,20313.264,NA,NA,22017.027,NA,NA,NA,23661.43
240800,24474.358,NA,NA,NA,NA,NA,NA,NA,NA,20318.305,NA,NA,22022.296,NA,NA,NA,23667.516
240900,24481.106,NA,NA,NA,NA,NA,NA,NA,NA,20323.744,NA,NA,22026.593,NA,NA,NA,23673.423
241000,24487.252,NA,NA,NA,NA,NA,NA,NA,NA,20329.076,NA,NA,22031.32,NA,NA,NA,23679.164
241100,24493.335,NA,NA,NA,NA,NA,NA,NA,NA,20334.258,NA,NA,22036.291,NA,NA,NA,23684.786
241200,24499.546,NA,NA,NA,NA,NA,NA,NA,NA,20338.738,NA,NA,22041.002,NA,NA,NA,23690.398
241300,24506.302,NA,NA,NA,NA,NA,NA,NA,NA,20343.897,NA,NA,22045.757,NA,NA,NA,23696.345
241400,24512.661,NA,NA,NA,NA,NA,NA,NA,NA,20348.946,NA,NA,22050.816,NA,NA,NA,23702.391
241500,24520.301,NA,NA,NA,NA,NA,NA,NA,NA,20354.085,NA,NA,22056.038,NA,NA,NA,23708.466
241600,24526.733,NA,NA,NA,NA,NA,NA,NA,NA,20359.127,NA,NA,22060.558,NA,NA,NA,23713.976
241700,24532.968,NA,NA,NA,NA,NA,NA,NA,NA,20363.981,NA,NA,22066.003,NA,NA,NA,23719.451
241800,24539.135,NA,NA,NA,NA,NA,NA,NA,NA,20368.876,NA,NA,22070.756,NA,NA,NA,23725.366
241900,24545.432,NA,NA,NA,NA,NA,NA,NA,NA,20374.045,NA,NA,22076.336,NA,NA,NA,23731.301
242000,24551.77,NA,NA,NA,NA,NA,NA,NA,NA,20378.975,NA,NA,22081.609,NA,NA,NA,23737.543
242100,24558.327,NA,NA,NA,NA,NA,NA,NA,NA,20384.658,NA,NA,22086.554,NA,NA,NA,23743.799
242200,24564.913,NA,NA,NA,NA,NA,NA,NA,NA,20389.518,NA,NA,22091.845,NA,NA,NA,23749.884
242300,24571.298,NA,NA,NA,NA,NA,NA,NA,NA,20394.554,NA,NA,22096.226,NA,NA,NA,23755.525
242400,24577.697,NA,NA,NA,NA,NA,NA,NA,NA,20400.086,NA,NA,22101.523,NA,NA,NA,23761.446
242500,24584.129,NA,NA,NA,NA,NA,NA,NA,NA,20404.802,NA,NA,22106.615,NA,NA,NA,23767.204
242600,24589.812,NA,NA,NA,NA,NA,NA,NA,NA,20409.717,NA,NA,22111.77,NA,NA,NA,23773.026
242700,24596.214,NA,NA,NA,NA,NA,NA,NA,NA,20414.451,NA,NA,22116.783,NA,NA,NA,23778.544
242800,24602.453,NA,NA,NA,NA,NA,NA,NA,NA,20419.967,NA,NA,22122.298,NA,NA,NA,23784.628
242900,24608.306,NA,NA,NA,NA,NA,NA,NA,NA,20425.606,NA,NA,22126.575,NA,NA,NA,23790.481
243000,24613.664,NA,NA,NA,NA,NA,NA,NA,NA,20430.391,NA,NA,22131.474,NA,NA,NA,23796.413
243100,24620.095,NA,NA,NA,NA,NA,NA,NA,NA,20434.962,NA,NA,22135.736,NA,NA,NA,23802.138
243200,24626.352,NA,NA,NA,NA,NA,NA,NA,NA,20440.064,NA,NA,22140.214,NA,NA,NA,23808.357
243259,24630.042,NA,NA,NA,NA,NA,NA,NA,NA,20443.047,NA,NA,22143,NA,NA,NA,23811.761
243300,24632.763,NA,NA,NA,NA,NA,NA,NA,NA,20444.867,NA,NA,NA,NA,NA,NA,23814.053
243400,24639.585,NA,NA,NA,NA,NA,NA,NA,NA,20450.242,NA,NA,NA,NA,NA,NA,23820.085
