Genus,depth,Percent_Abundance,guild
Desulfobacula_AC1,6.5,0.140646976,1
Desulfobacula_AC2,6.5,0.116658889,1
Desulfosarcina_AC1,6.5,0.035161744,1
Desulfosarcina_AC2,6.5,0.023331778,1
Gallionella_AC1,6.5,0.017580872,5
Gallionella_AC2,6.5,0.069995334,5
Fe/SO42-,7.5,2.456860491,-9
SRB,7.5,0.908439675,-10
FeRB,7.5,0.962079485,-8
SOB,7.5,1.161201872,-7
FeOB,7.5,0.238363224,-6
Desulfobulbus_AC1,7.5,0.663785119,2
Desulfobulbus_AC2,7.5,0.345383376,2
Desulfococcus_AC1,7.5,0.077184316,1
Desulfococcus_AC2,7.5,0.046051117,1
Sva0081_sediment_group_AC1,7.5,0.123494906,1
Sva0081_sediment_group_AC2,7.5,0.115127792,1
Arcobacter_AC1,7.5,0.108058043,4
Arcobacter_AC2,7.5,0.207230025,4
Cocleimonas_AC1,7.5,0.04631059,4
Cocleimonas_AC2,7.5,0.161178909,4
Thiobacillus_AC1,7.5,0.04631059,4
Thiobacillus_AC2,7.5,0.115127792,4
Sulfurimonas_AC1,7.5,0.169805496,4
Sulfurimonas_AC2,7.5,0.230255584,4
Sulfurovum_AC1,7.5,0.030873726,4
Sulfurovum_AC2,7.5,0.046051117,4
Mariprofundus_AC1,7.5,0.077184316,5
Mariprofundus_AC2,7.5,0.092102233,5
Deferrisoma_AC1,7.5,0.216116085,3
Deferrisoma_AC2,7.5,0.253281142,3
Geobacter_AC1,7.5,0.092621179,3
Geobacter_AC2,7.5,0.069076675,3
Geothermobacter_AC1,7.5,0.04631059,3
Geothermobacter_AC2,7.5,0.046051117,3
Geopsychrobacter_AC1,7.5,0.04631059,3
Geopsychrobacter_AC2,7.5,0.023025558,3
Sva1033_unclassified_AC1,7.5,0.849027478,2
Sva1033_unclassified_AC2,7.5,0.598664518,2
Desulfuromusa_AC1,7.5,0.077184316,3
Desulfuromusa_AC2,7.5,0.092102233,3
SEEP-SRB1_AC1,7.5,0.061747453,1
SEEP-SRB1_AC2,7.5,0.046051117,1
Desulfobacula_AC1,7.5,0.200679222,1
Desulfobacula_AC2,7.5,0.161178909,1
Desulfosarcina_AC1,7.5,0.030873726,1
Desulfosarcina_AC2,7.5,0.046051117,1
Gallionella_AC1,7.5,0,5
Gallionella_AC2,7.5,0.069076675,5
Fe/SO42-,8.5,3.272498046,-9
SRB,8.5,0.824529275,-10
FeRB,8.5,0.882177157,-8
SOB,8.5,0.81740729,-7
FeOB,8.5,0.13344678,-6
Desulfobulbus_AC1,8.5,0.765110941,2
Desulfobulbus_AC2,8.5,0.510650715,2
Desulfococcus_AC1,8.5,0.076511094,1
Desulfococcus_AC2,8.5,0.029180041,1
Sva0081_sediment_group_AC1,8.5,0.091813313,1
Sva0081_sediment_group_AC2,8.5,0.102130143,1
Arcobacter_AC1,8.5,0.076511094,4
Arcobacter_AC2,8.5,0.072950102,4
Cocleimonas_AC1,8.5,0.030604438,4
Cocleimonas_AC2,8.5,0.087540123,4
Thiobacillus_AC1,8.5,0.045906656,4
Thiobacillus_AC2,8.5,0.131310184,4
Sulfurimonas_AC1,8.5,0.153022188,4
Sulfurimonas_AC2,8.5,0.175080245,4
Sulfurovum_AC1,8.5,0.015302219,4
Sulfurovum_AC2,8.5,0.029180041,4
Mariprofundus_AC1,8.5,0.030604438,5
Mariprofundus_AC2,8.5,0.058360082,5
Deferrisoma_AC1,8.5,0.214231064,3
Deferrisoma_AC2,8.5,0.145900204,3
Geobacter_AC1,8.5,0.076511094,3
Geobacter_AC2,8.5,0.102130143,3
Geothermobacter_AC1,8.5,0.061208875,3
Geothermobacter_AC2,8.5,0.029180041,3
Geopsychrobacter_AC1,8.5,0.015302219,3
Geopsychrobacter_AC2,8.5,0.072950102,3
Sva1033_unclassified_AC1,8.5,1.208875287,2
Sva1033_unclassified_AC2,8.5,0.787861103,2
Desulfuromusa_AC1,8.5,0.091813313,3
Desulfuromusa_AC2,8.5,0.072950102,3
SEEP-SRB1_AC1,8.5,0.076511094,1
SEEP-SRB1_AC2,8.5,0.058360082,1
Desulfobacula_AC1,8.5,0.198928845,1
Desulfobacula_AC2,8.5,0.131310184,1
Desulfosarcina_AC1,8.5,0.030604438,1
Desulfosarcina_AC2,8.5,0.029180041,1
Gallionella_AC1,8.5,0.015302219,5
Gallionella_AC2,8.5,0.029180041,5
Fe/SO42-,9.5,0.844416298,-9
SRB,9.5,0.548870593,-10
FeRB,9.5,0.506649778,-8
SOB,9.5,0.591091408,-7
FeOB,9.5,0.08444163,-6
Desulfobulbus_AC1,9.5,NA,2
Desulfobulbus_AC2,9.5,0.422208149,2
Desulfococcus_AC1,9.5,NA,1
Desulfococcus_AC2,9.5,0.063331222,1
Sva0081_sediment_group_AC1,9.5,NA,1
Sva0081_sediment_group_AC2,9.5,0.168883259,1
Arcobacter_AC1,9.5,NA,4
Arcobacter_AC2,9.5,0.147772852,4
Cocleimonas_AC1,9.5,NA,4
Cocleimonas_AC2,9.5,0.08444163,4
Thiobacillus_AC1,9.5,NA,4
Thiobacillus_AC2,9.5,0.08444163,4
Sulfurimonas_AC1,9.5,NA,4
Sulfurimonas_AC2,9.5,0.253324889,4
Sulfurovum_AC1,9.5,NA,4
Sulfurovum_AC2,9.5,0.021110407,4
