Station,Subcore,Depth,Replicate,Domain,qPCR,Average,d13C,CtoN,TOC
AC,AC.1,1.5,B,Bacteria,4.48E+07,3.71E+09,-25.546,11.46,1.6505
AC,AC.1,2.5,B,Bacteria,,2.15E+09,-25.637,13.08,
AC,AC.1,3.5,B,Bacteria,2.79E+09,2.82E+09,-25.914,13.84,1.6498
AC,AC.1,4.5,B,Bacteria,,,-25.66,12.23,1.6428
AC,AC.1,5.5,B,Bacteria,3.94E+08,3.83E+08,-25.868,12.5,
AC,AC.1,6.5,B,Bacteria,7.26E+08,7.14E+08,-25.966,12.74,1.6158
AC,AC.1,7.5,B,Bacteria,3.45E+09,3.14E+09,-25.804,13.48,1.4508
AC,AC.1,8.5,B,Bacteria,1.03E+10,1.10E+10,-25.854,13.36,1.3977
AC,AC.1,9.5,B,Bacteria,,,-25.861,12.85,1.5654
AC,AC.1,10.5,B,Bacteria,3.38E+07,3.40E+07,-26.364,13.88,
AC,AC.1,11.5,B,Bacteria,5.29E+07,4.36E+07,-26.029,13.22,1.4652
AC,AC.1,12.5,B,Bacteria,2.77E+09,2.26E+09,-25.853,14.16,1.4652
AC,AC.1,13.5,B,Bacteria,4.78E+07,6.05E+07,-25.96,13.04,1.5234
AC,AC.1,14.5,B,Bacteria,6.18E+07,5.91E+07,,,1.434
AC,AC.1,15.5,B,Bacteria,,1.69E+09,-25.883,13.73,
AC,AC.1,16.5,B,Bacteria,,,-26.192,13.71,1.5113
AC,AC.1,17.5,B,Bacteria,7.92E+06,7.85E+06,-27.09,13.58,1.423
AC,AC.1,18.5,B,Bacteria,5.72E+06,5.70E+06,,,
AC,AC.1,19.5,B,Bacteria,3.60E+09,3.67E+09,-25.819,13.8,1.5154
AC,AC.1,0.5,B,Archaea,8.33E+09,4.17E+09,-26.329,13.4,
AC,AC.1,1.5,B,Archaea,3.90E+06,5.07E+06,-25.546,11.46,1.6505
AC,AC.1,2.5,B,Archaea,1.10E+07,1.92E+07,-25.637,13.08,
AC,AC.1,3.5,B,Archaea,4.64E+06,4.85E+06,-25.914,13.84,1.6498
AC,AC.1,4.5,B,Archaea,,,-25.66,12.23,1.6428
AC,AC.1,5.5,B,Archaea,4.56E+05,4.33E+05,-25.868,12.5,
AC,AC.1,6.5,B,Archaea,1.86E+06,3.94E+06,-25.966,12.74,1.6158
AC,AC.1,7.5,B,Archaea,2.83E+07,2.16E+07,-25.804,13.48,1.4508
AC,AC.1,8.5,B,Archaea,2.51E+07,2.66E+07,-25.854,13.36,1.3977
AC,AC.1,9.5,B,Archaea,,,-25.861,12.85,1.5654
AC,AC.1,10.5,B,Archaea,2.45E+05,3.43E+05,-26.364,13.88,
AC,AC.1,11.5,B,Archaea,1.85E+05,1.54E+05,-26.029,13.22,1.4652
AC,AC.1,12.5,B,Archaea,3.30E+06,3.56E+06,-25.853,14.16,1.4652
AC,AC.1,13.5,B,Archaea,2.10E+05,1.44E+05,-25.96,13.04,1.5234
AC,AC.1,14.5,B,Archaea,6.86E+05,5.99E+05,,,1.434
AC,AC.1,15.5,B,Archaea,5.41E+06,4.32E+06,-25.883,13.73,
AC,AC.1,16.5,B,Archaea,,,-26.192,13.71,1.5113
AC,AC.1,17.5,B,Archaea,2.05E+06,2.17E+06,-27.09,13.58,1.423
AC,AC.1,18.5,B,Archaea,1.10E+06,2.23E+06,-25.819,13.8,
AC,AC.1,19.5,B,Archaea,1.24E+06,1.28E+06,,,1.5154
AB,AB.2,0.5,A,Bacteria,1.39E+11,1.33E+11,,,1.4333
AB,AB.2,1.5,A,Bacteria,6.64E+10,6.64E+10,,12.04,1.49
AB,AB.2,2.5,A,Bacteria,,6.50E+09,,,1.4188
AB,AB.2,3.5,A,Bacteria,2.49E+09,3.67E+09,-24.74,12.73,1.527
AB,AB.2,4.5,A,Bacteria,5.24E+09,2.00E+10,-25.26,12.53,1.37
AB,AB.2,5.5,A,Bacteria,1.58E+11,8.56E+10,-24.19,9.15,1.4278
